===== 2026-06-05 00:00:01 MSK =====
Start: 2026-06-04T21:00:01+0000
HOST: vdska                                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1. AS49791  _gateway                            0.0%   500    0.3   0.3   0.3   1.9   0.1
  2. AS49791  45.144.48.244                       0.0%   500    0.5   0.4   0.4   2.2   0.2
  3. AS49791  45.144.48.245                       0.0%   500    0.5   1.0   0.4 292.0  13.0
  4. AS28917  waw-lim-b1-ae1-vlan3660.fiord.net   0.2%   500    1.3   5.3   0.5  47.1   6.4
  5. AS???    ???                                100.0   500    0.0   0.0   0.0   0.0   0.0
  6. AS15169  142.250.160.114                    28.8%   500   21.5  21.5  21.4  23.0   0.2
  7. AS15169  72.14.237.119                       0.2%   500   22.0  22.3  21.8  61.3   2.9
  8. AS15169  142.251.65.81                       0.2%   500   21.5  21.6  21.5  25.8   0.3
  9. AS15169  dns.google                          0.2%   500   21.3  21.3  21.2  23.2   0.2

